day,event,content,mental_state,personality
1,intent,Agent_c73dd is preparing to fight the Entity.,anxious,cautious
1,training,"Agent_18dda trained in the village: +2 health, +1 attack, +0 defense.",hopeful,curious
1,training,"Agent_e7e63 trained in the village: +1 health, +1 attack, +1 defense.",hopeful,empathetic
1,dialogue,"Agent_e3113 talks with Agent_1164b: ""---""",N/A,N/A
1,rest,Agent_007b6 took time to rest and feels more at peace.,calm,cautious
1,rest,Agent_dc6cb took time to rest and feels more at peace.,determined,curious
1,intent,Agent_07080 is preparing to fight the Entity.,anxious,brave
1,rest,Agent_ac126 took time to rest and feels more at peace.,calm,cautious
1,training,"Agent_d1876 trained in the village: +2 health, +0 attack, +1 defense.",determined,brave
1,intent,Agent_fcca1 is preparing to fight the Entity.,hopeful,curious
1,intent,Agent_7077c is preparing to fight the Entity.,determined,empathetic
1,training,"Agent_20512 trained in the village: +1 health, +1 attack, +0 defense.",determined,empathetic
1,training,"Agent_22c84 trained in the village: +2 health, +1 attack, +0 defense.",calm,curious
1,rest,Agent_742b1 took time to rest and feels more at peace.,determined,curious
1,training,"Agent_b3042 trained in the village: +1 health, +0 attack, +0 defense.",hopeful,curious
1,intent,Agent_a1e8a is preparing to fight the Entity.,anxious,aggressive
1,training,"Agent_b0cdc trained in the village: +1 health, +1 attack, +0 defense.",hopeful,aggressive
1,dialogue,"Agent_a35f9 talks with Agent_18dda: ""Agent_a35f9: ""What if the Entity finds us before we can find her?""""",N/A,N/A
1,intent,Agent_6f7e7 is preparing to fight the Entity.,determined,brave
1,dialogue,"Agent_1164b talks with Agent_09019: ""Agent_1164b: ""Agent_09019, I heard that the Entity is coming soon. I'm scared.""""",N/A,N/A
1,training,"Agent_7d1ba trained in the village: +1 health, +0 attack, +0 defense.",determined,curious
1,rest,Agent_b32fa took time to rest and feels more at peace.,calm,cautious
1,rest,Agent_248d7 took time to rest and feels more at peace.,determined,cautious
1,rest,Agent_9e158 took time to rest and feels more at peace.,determined,empathetic
1,intent,Agent_9953f is preparing to fight the Entity.,calm,brave
1,dialogue,"Agent_2ad13 talks with Agent_da3ff: ""---""",N/A,N/A
1,training,"Agent_de986 trained in the village: +2 health, +1 attack, +0 defense.",determined,brave
1,dialogue,"Agent_e957d talks with Agent_f5759: ""---""",N/A,N/A
1,training,"Agent_9f46d trained in the village: +1 health, +0 attack, +1 defense.",determined,aggressive
1,rest,Agent_cd3a2 took time to rest and feels more at peace.,hopeful,curious
1,rest,Agent_e3fcf took time to rest and feels more at peace.,calm,empathetic
1,rest,Agent_c39e9 took time to rest and feels more at peace.,hopeful,empathetic
1,intent,Agent_c44a6 is preparing to fight the Entity.,anxious,cautious
1,training,"Agent_86853 trained in the village: +2 health, +0 attack, +1 defense.",hopeful,brave
1,dialogue,"Agent_3d10e talks with Agent_20512: ""---""",N/A,N/A
1,intent,Agent_ef8fa is preparing to fight the Entity.,hopeful,curious
1,training,"Agent_cca20 trained in the village: +1 health, +0 attack, +1 defense.",determined,curious
1,intent,Agent_ba26e is preparing to fight the Entity.,afraid,cautious
1,training,"Agent_19c44 trained in the village: +2 health, +0 attack, +0 defense.",determined,empathetic
1,training,"Agent_78e3e trained in the village: +1 health, +0 attack, +1 defense.",calm,cautious
1,rest,Agent_5f8a9 took time to rest and feels more at peace.,determined,curious
1,training,"Agent_bec91 trained in the village: +2 health, +0 attack, +1 defense.",determined,empathetic
1,intent,Agent_65c82 is preparing to fight the Entity.,determined,brave
1,training,"Agent_56048 trained in the village: +2 health, +1 attack, +0 defense.",determined,curious
1,intent,Agent_814e6 is preparing to fight the Entity.,hopeful,brave
1,pregnancy,Agent_742b1 got pregnant from Agent_ef8fa.,N/A,N/A
2,intent,Agent_c73dd is preparing to fight the Entity.,anxious,cautious
2,dialogue,"Agent_18dda talks with Agent_da3ff: ""Agent_18dda: ""Hey, Agent_da3ff. How are you holding up?""",N/A,N/A
2,training,"Agent_e7e63 trained in the village: +1 health, +1 attack, +1 defense.",hopeful,empathetic
2,dialogue,"Agent_e3113 talks with Agent_5f8a9: ""---""",N/A,N/A
2,rest,Agent_007b6 took time to rest and feels more at peace.,calm,cautious
2,training,"Agent_07080 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave
2,training,"Agent_ac126 trained in the village: +1 health, +1 attack, +0 defense.",calm,cautious
2,training,"Agent_d1876 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave
2,dialogue,"Agent_fcca1 talks with Agent_814e6: ""Agent_fcca1: ""Well, I must say, the Entity sure knows how to make us feel the heat.""""",N/A,N/A
2,training,"Agent_da3ff trained in the village: +2 health, +1 attack, +1 defense.",determined,empathetic
2,training,"Agent_7077c trained in the village: +2 health, +0 attack, +1 defense.",determined,empathetic
2,training,"Agent_20512 trained in the village: +2 health, +0 attack, +0 defense.",determined,empathetic
2,intent,Agent_22c84 is preparing to fight the Entity.,calm,curious
2,rest,Agent_09019 took time to rest and feels more at peace.,calm,aggressive
2,dialogue,"Agent_742b1 talks with Agent_b32fa: ""---""",N/A,N/A
2,intent,Agent_b3042 is preparing to fight the Entity.,hopeful,curious
2,dialogue,"Agent_a1e8a talks with Agent_ba26e: ""Agent_a1e8a: (agitated) ""I know we were supposed to be on the lookout for the Entity, but I can't shake this feeling of unease.
Agent_ba26e: ""I understand, it's hard to stay focused on the task when you know it's a matter of life or death.
Agent_a1e8a: ""But what if we don't find anything? What if we just sit here and wait for the Entity to strike?
Agent_ba26e: ""We can't do that. We have to keep looking and trying to find a way to stop her.
Agent_a1e""",N/A,N/A
2,training,"Agent_b0cdc trained in the village: +1 health, +0 attack, +0 defense.",hopeful,aggressive
2,training,"Agent_a35f9 trained in the village: +1 health, +0 attack, +0 defense.",hopeful,curious
2,rest,Agent_6f7e7 took time to rest and feels more at peace.,determined,brave
2,dialogue,"Agent_86364 talks with Agent_e7e63: ""---""",N/A,N/A
2,dialogue,"Agent_1164b talks with Agent_f5759: ""---""",N/A,N/A
2,intent,Agent_7d1ba is preparing to fight the Entity.,determined,curious
2,rest,Agent_b32fa took time to rest and feels more at peace.,calm,cautious
2,training,"Agent_248d7 trained in the village: +1 health, +1 attack, +0 defense.",determined,cautious
2,intent,Agent_9e158 is preparing to fight the Entity.,determined,empathetic
2,rest,Agent_9953f took time to rest and feels more at peace.,calm,brave
2,training,"Agent_2ad13 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave
